                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7897,                 3.6999,                 1.6113,                0.01945,                0.79892,                0.02973,                0.01562,                 1.3222,                 3.5933,                 1.3061,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.5407,                 2.7855,                 1.3491,                0.02058,                0.91151,                0.36179,                0.19284,                 1.2866,                  3.011,                 1.1834,              0.0002906,              0.0002906,              0.0002906
                      3,                 1.4694,                 1.9695,                  1.253,                0.65064,                0.33781,                0.52338,                0.29213,                 1.3646,                 2.3321,                 1.1872,             0.00040366,             0.00040366,             0.00040366
                      4,                 1.3766,                  1.656,                 1.2119,                0.69101,                0.46432,                0.60752,                0.34779,                 1.3295,                 2.1591,                 1.1476,             0.00048922,             0.00048922,             0.00048922
                      5,                 1.2915,                 1.4978,                 1.2083,                0.81817,                0.59282,                0.72448,                0.45013,                 1.2726,                 1.9641,                 1.1823,             0.00054728,             0.00054728,             0.00054728
                      6,                 1.2628,                  1.371,                 1.2027,                0.82097,                0.60552,                0.75289,                0.45523,                 1.3188,                 1.9567,                  1.199,             0.00057782,             0.00057782,             0.00057782
                      7,                 1.2477,                 1.3321,                 1.1759,                0.86616,                0.70008,                0.81914,                0.53499,                 1.2084,                 1.6366,                 1.1376,             0.00058087,             0.00058087,             0.00058087
                      8,                 1.2534,                 1.3124,                 1.1928,                0.85888,                0.70942,                0.81821,                0.52147,                 1.2527,                 1.6365,                 1.1612,              0.0005564,              0.0005564,              0.0005564
                      9,                 1.2158,                 1.2053,                 1.1599,                0.86752,                0.70939,                0.82623,                0.54048,                 1.1972,                 1.5899,                 1.1279,             0.00050443,             0.00050443,             0.00050443
                     10,                 1.1445,                 1.1424,                 1.1176,                0.89863,                0.76558,                0.88097,                0.60475,                 1.1005,                 1.3026,                 1.0841,             0.00042496,             0.00042496,             0.00042496
                     11,                 1.1314,                 1.1117,                 1.1245,                0.89283,                0.81269,                0.90647,                0.62924,                 1.0716,                 1.1303,                 1.0657,             0.00029172,             0.00029172,             0.00029172
                     12,                 1.1174,                 1.0634,                 1.1005,                0.91794,                0.82712,                0.92156,                0.65194,                  1.026,                 1.0377,                 1.0455,             0.00029172,             0.00029172,             0.00029172
